zts1e	Nuevo Ítem
zts18122e	Alas de fuego llameantes
zts18123e	Transforma las alas de tu especialista en unas Alas de fuego llameantes.[n]Instrucciones:[n]1) Conviértete en un especialista.[n]2) Utiliza este objeto para transformar tus alas.[n][Efecto][n]Aumenta tu elemento fuego en 10.[n]Velocidad de movimiento +1[n]Atención:[n]1) Solo puedes cambiar tus alas de especialista con una Tarjeta de especialista optimizada +1 o superior.[n]2) Las alas desaparecen si colocas la tarjeta de especialista en un Portador de tarjetas.[n]
zts18124e	Alas de hielo gélidas
zts18125e	Transforma las alas de tu especialista en unas Alas de hielo gélidas.[n]Instrucciones:[n]1) Conviértete en un especialista.[n]2) Utiliza este objeto para transformar tus alas.[n][Efecto][n]Aumenta tu elemento agua en 10.[n]Velocidad de movimiento +1[n]Atención:[n]1) Solo puedes cambiar tus alas de especialista con una Tarjeta de especialista optimizada +1 o superior.[n]2) Las alas desaparecen si colocas la tarjeta de especialista en un Portador de tarjetas.[n]
zts18128e	Portatarjetas dorado
zts18129e	Sirve para almacenar una Tarjeta del especialista.[n] Se puede intercambiar entre jugadores.[n][Cómo utilizarla] Haz doble clic sobre el Portatarjetas y selecciona la Tarjeta del especialista que desees para guardarla.[n] Para volverla a sacar haz doble clic de nuevo en el portador y este desparecerá.
zts18130e	Ardilla apache
zts18131e	Ardilla apache y más
zts18132e	Ardilla apache y más contiene la ágil Ardilla apache, la silenciosa Ardilla ninja o la Ardilla cowboy de gatillo fácil y mucho más.[n]Recibes uno de los siguientes objetos:[n]1 Ardilla apache[n]1 Ardilla ninja[n]1 Ardilla cowboy[n]25 Plumas de ángel[n]25 Cristales de luna llena[n]
zts18142e	Pastel de arroz y habas
zts18143e	Restablece lentamente 5000 de tus HP y de tus MP.[n]También se aplica a tu NosMate.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18144e	Esta gema mejora Tarjetas de especialista con el elemento tinieblas.[n]Es apropiada para Cosechadores de almas, Cazademonios y Videntes.[n]
zts18145e	Sello del raid de Vulpina
zts18146e	Puedes acceder al raid de Halloween en el Pueblohorror de NosVille.[n]Nivel recomendado: 20-99[n]Cantidad mínima de jugadores: 10[n][Utilización][n]Con este sello te conviertes en líder del raid de un equipo.[n]Una vez seas líder del raid, puedes invitar a otros jugadores[n]haciendo clic sobre ellos.[n]Ve con tu equipo a la entrada del raid y accede como líder:[n]los demás jugadores te seguirán automáticamente.[n][Advertencia][n]Este objeto desaparece al final del evento.[n]
zts18147e	Cofre fantástico de Vulpina
zts18148e	En el Cofre fantástico de Vulpina se esconden varios objetos de evento que puedes conseguir al abrirlo.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18149e	Hígado fresco
zts18150e	Al Primogénito de míster Park le encanta.[n]Reúne 5 Hígados y llévaselos.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18151e	Botellín azul
zts18152e	Uno de los objetos favoritos de Vulpina[n]Retira el efecto que retarda el movimiento.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18153e	Botellín amarillo
zts18154e	Uno de los objetos favoritos de Vulpina[n]Restaura tus HP al 100% de su valor.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18155e	Botellín rojo
zts18156e	Uno de los objetos favoritos de Vulpina[n]Causa daño del elemento fuego al enemigo durante un tiempo determinado.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18157e	Caja fantástica de Halloween
zts18158e	En la Caja fantástica de Halloween se esconden varios objetos de evento que puedes conseguir al abrirla.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18159e	Pastel gigante de arroz
zts18160e	Restablece inmediatamente 3000 de tus HP y de tus MP.[n]También se aplica a tu NosMate.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18161e	Tarjeta del especialista para compañero de Vulpina
zts18162e	Tarjeta del especialista para compañero del elemento tinieblas.[n]Tom y Kliff pueden llevarla.[n]Unas raposa que preferiría ser humana[n]
zts18169e	Halloween y más
zts18170e	Este terrorífico baúl es perfecto para la temporada de Halloween.[n]Con un poco de suerte podrías encontrar la Tarjeta del especialista para compañero de Vulpina.[n]Hazte con uno de los siguientes objetos:[n]1 Tarjeta del especialista para compañero de Vulpina[n]1 Súper ardilla calabaza[n]1 Sombrero de calabaza brillante (permanente)[n]1 Tique de habilidad de compañero (una)[n]25 Plumas de ángel[n]25 Cristales de luna llena[n]
zts18173e	Ardilla vikinga
zts18174e	Ardilla vikinga y más
zts18175e	Ardilla vikinga y más contiene la astuta Ardilla vikinga además de otras muchas cosas.[n]Recibes uno de los siguientes objetos:[n]1 Ardilla vikinga[n]1 Ardilla apache[n]1 Ardilla ninja[n]1 Ardilla cowboy[n]25 Plumas de ángel[n]25 Cristales de luna llena
zts18188e	Tarjeta del especialista para compañero de Maru
zts18189e	¡Dame tortita de arroz! ¡O te como a ti![n]Tarjeta del especialista para compañero[n]Tom y Kliff pueden llevarla.[n]Convierte a tu compañero en un Tigre del milenio.[n]
zts18190e	Maru en traje de la madre (TEC)
zts18191e	¡Dame tortita de arroz! ¡O te como a ti![n]Tarjeta del especialista para compañero[n]Tom y Kliff pueden llevarla.[n]Convierte a tu compañero en un vestido de cariñosa madre.[n]
zts18192e	La familia vikinga y más
zts18193e	El Baúl del especialista contiene los astutos compañeros especialistas vikingos y más cosas.[n]Recibes uno de los siguientes objetos:[n]1 Tarjeta del especialista para compañero de Aegir[n]1 Tarjeta del especialista para compañero de Freya[n]1 Tarjeta del especialista para compañero de Barni[n]1 Tique de habilidad de compañero (una)[n]25 Plumas de ángel[n]25 Cristales de luna llena[n]
zts18194e	La unidad ninja y más
zts18195e	Este Baúl del especialista contiene los sigilosos compañeros especialistas ninjas y más cosas.[n]Recibes uno de los siguientes objetos:[n]1 Tarjeta del especialista para compañero de Lotus[n]1 Tarjeta del especialista para compañero de Orkani[n]1 Tarjeta del especialista para compañero de Shinobi[n]1 Tique de habilidad de compañero (una)[n]25 Plumas de ángel[n]25 Cristales de luna llena[n]
zts18196e	Maru, el tigre del milenio y más
zts18197e	En este Baúl del especialista está grabado el símbolo del tigre.[n]Con un poco de suerte conseguirás la Tarjeta del especialista para compañero de Maru.[n]Hazte con uno de los siguientes objetos:[n]1 Tarjeta del especialista de Maru[n]1 Maru en traje de la madre (TEC)[n]1 Tique de habilidad de compañero (una)[n]25 Plumas de ángel[n]25 Cristales de luna llena[n]
zts18200e	Sello del raid de Maru
zts18201e	Puedes acceder al raid a través del Camino nevado de NosVille.[n]Nivel recomendado: : 20 ~ 99[n]Cantidad mínima de jugadores: 10[n][Utilizar][n]Con este sello te conviertes en líder del raid de un equipo.[n]Una vez seas líder del raid, podrás invitar a otros jugadores[n]haciendo clic sobre ellos.[n]Ve a la entrada del raid con tu equipo y accede como líder.[n]Los demás te seguirán de forma automática.[n][Atención][n]Este objeto desaparece cuando finaliza el evento.[n]
zts18202e	Baúl del tigre de Maru
zts18203e	En el Baúl del tigre de Maru se esconden varios objetos que podrás obtener al abrirlo.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18204e	Aceite de sésamo
zts18205e	Un objeto útil para el duelo contra Maru, el tigre del milenio.[n]Reduce la tasa de acierdo del contrincante en un 30% durante 10 segundos.[n][Atención][n]Solo se puede usar en la Casa de los Hermanos.[n]El objeto desaparece al final del evento.[n]
zts18206e	Pastel de harina de alubias
zts18207e	Esta delicia sirve para distraer al Tigre del milenio.[n]Dáselo al tigre cuando te bloquee el paso.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18208e	Baúl del caminante
zts18209e	Este baúl contiene pequeñas delicias.[n]Hazte con uno de los siguientes objetos:[n]1 Tinte de pelo misterioso[n]1 Juego de cartas de tarot[n]1 Bendición de Ancelloan[n]1 Poción especial grande[n]1 Vaso sellado[n]1 Agua de la fuente de Cylloan[n]1 Alas de la amistad[n]1 Altavoz[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18210e	Pastel rojo de harina de alubias
zts18211e	Un objeto útil para el duelo contra Maru, el tigre del milenio.[n]Elimina el efecto [El poder del tigre] del tigre[Atención][n]Solo se puede usar en la Casa de los Hermanos.[n]El objeto desaparece al final del evento.[n]
zts18212e	Moneda de latón
zts18213e	Una valiosa moneda de latón adecuada para el canje.[n]Cámbiala por el Baúl del caminante.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18214e	Disfraz de tigre adorable (1 día)
zts18215e	Con él te convertirás en un adorable tigre.[n]El tiempo de utilización comienza en cuanto te lo pones.[n][Efecto][n]Se reducen los daños de todos los ataques en un 80% con una probabilidad del 5%.[n]
zts18216e	Disfraz de tigre adorable (7 días)
zts18217e	Disfraz de tigre adorable (30 días)
zts18218e	Disfraz de tigre adorable (permanente)
zts18219e	Con él te convertirás en un adorable tigre.[n]Aumenta la resistencia contra todos los elementos en un 2%.[n][Efecto][n]Se reducen los daños de todos los ataques en un 80% con una probabilidad del 5%.[n]
zts18220e	Disfraz de tigre níveo (1 día)
zts18221e	Con él te convertirás en un Tigre níveo.[n]El tiempo de utilización comienza en cuanto te lo pones.[n][Efecto][n]Aumenta la velocidad de movimiento en +2.[n]
zts18222e	Disfraz de tigre níveo (7 días)
zts18223e	Disfraz de tigre níveo (30 días)
zts18224e	Disfraz de tigre níveo (permanente)
zts18225e	Con él te convertirás en un Tigre níveo.[n][Efecto][n]Aumenta la velocidad de movimiento en +2.[n]
zts18226e	Sombrero de tigre adorable (1 día)
zts18227e	Con él te convertirás en un adorable tigre.[n]El tiempo de utilización comienza en cuanto te lo pones.[n][Efecto][n]La resistencia contra todos los elementos aumenta en un 3%.[n]
zts18228e	Sombrero de tigre adorable (7 días)
zts18229e	Sombrero de tigre adorable (30 días)
zts18230e	Sombrero de tigre adorable (permanente)
zts18231e	Con él te convertirás en un adorable tigre.[n][Efecto][n]La resistencia contra todos los elementos aumenta en un 3%.[n]
zts18232e	Sombrero de tigre níveo (1 día)
zts18233e	Con él te convertirás en un Tigre níveo.[n]El tiempo de utilización comienza en cuanto te lo pones.[n][Efecto][n]La fuerza de todos los elementos aumenta en un 3%.[n]
zts18234e	Sombrero de tigre níveo (7 días)
zts18235e	Sombrero de tigre níveo (30 días)
zts18236e	Sombrero de tigre níveo (permanente)
zts18237e	Con él te convertirás en un Tigre níveo.[n][Efecto][n]La fuerza de todos los elementos aumenta en un 3%.[n]
zts18242e	Fantásticos disfraces de tigre y más
zts18243e	En este estupendo Baúl encontrarás uno de los legendarios Sets de disfraz de tigre y más: [n]1 Set de disfraz de tigre adorable[n]1 Set de disfraz de tigre níveo[n]1 Disfraz de zorro Oto como set[n]1 Set de disfraz de la ardilla marinera[n]25 Plumas de ángel[n]25 Cristales de luna llena[n]
zts18244e	Disfraces de ardilla coloridos y más
zts18245e	En este estupendo baúl encontrarás uno de los siguientes disfraces de ardilla y más.[n]1 Set de disfraz de la ardilla negra[n]1 Set de disfraz de la ardilla azul[n]1 Set de disfraz de la ardilla verde[n]1 Set de disfraz de la ardilla roja[n]1 Set de disfraz de la ardilla rosa[n]1 Set de disfraz de la ardilla turquesa[n]1 Set de disfraz de la ardilla amarilla[n]1 Set de disfraz de la ardilla clásico[n]25 Plumas de ángel[n]25 Cristales de luna llena[n]
zts18248e	Set de disfraz de tigre adorable
zts18249e	Este set de disfraz te convierte en un adorable tigre.[n]Está formado por:[n]1 Disfraz de tigre adorable (permanente)[n]1 Sombrero de tigre adorable (permanente)[n]
zts18250e	Set de disfraz de tigre níveo
zts18251e	Este set de disfraz te convierte en un tigre níveo.[n]Está formado por:[n]1 Disfraz de tigre níveo (permanente)[n]1 Sombrero de tigre níveo (permanente)[n]
zts18274e	Teo Terciopié
zts18281e	Teo Terciopié y más
zts18282e	En este fantástico baúl encontrarás uno de los siguientes objetos:[n]1 Teo Terciopié[n]1 Conejorejo[n]1 Fibi Friggus[n]1 Inferno[n]1 Sombro, el cachorro infernal[n]1 Pegaso[n]1 Rudi Rabauke[n]1 Rusty Robby[n]1 Conejo entrañable[n]1 Huevo de Chick Norris[n]25 Plumas de ángel[n]25 Cristales de luna llena[n]
zts18289e	Cura
zts18290e	Tarjeta del especialista del archimago
zts18291e	Tarjeta del especialista del ángel vengador
zts18292e	Tarjeta del especialista renegado
zts18293e	Sello del raid de la bruja Laurena
zts18294e	Inicia el raid contra la bruja Laurena.[n]Nivel recomendado: 70 - 99[n]Número recomendado: más de 20 y hasta 40 jugadores[n][Utilizar][n]Con este sello te convertirás en el líder del raid de un equipo.[n]Después de convertirte en líder del raid, podrás invitar a otros jugadores[n]haciendo clic sobre ellos.[n]Acércate con tu equipo a la entrada del raid y entra como líder,[n]los demás miembros te seguirán automáticamente.[n]
zts18295e	Potaje de alubias rojas
zts18296e	Objeto de raid de la diablilla[n]Esta comida no les gusta nada a los diablillos.[n]Aturde al objetivo durante 5 segundos.[n][Atención][n]Solo puede utilizarse en la casa de Nolbu.[n]El objeto desaparece al final del evento.[n]
zts18297e	Sello del raid de Hongbi y Cheongbi
zts18298e	Con este sello del raid puedes iniciar el raid contra Hongbi y Cheongbi.[n]Nivel recomendado: 20 - 99[n]Número recomendado: más de 10 jugadores[n][Utilizar][n]Con este sello te convertirás en el líder del raid de un equipo.[n]Después de convertirte en líder del raid, podrás invitar a otros jugadores[n]haciendo clic sobre ellos.[n]Acércate con tu equipo a la entrada del raid y entra como líder,[n]los demás miembros te seguirán automáticamente.[n][Atención][n]El objeto desaparece al final del evento.[n][n]
zts18299e	Semilla de Hungbu
zts18300e	Esta es la semilla que la golondrina le regaló a Hungbu.[n][Utilizar][n]Puedes plantar la semilla en tu mini-mundo.[n][Atención][n]El monstruo que aparece desaparecerá cuando te desconectes.[n]El objeto desaparece al final del evento.[n]
zts18301e	Semilla de Nolbu
zts18302e	Esta es la semilla que la golondrina le regaló a Nolbu.[n][Utilizar][n]Puedes plantar la semilla en tu mini-mundo.[n][Atención][n]El monstruo que aparece desaparecerá cuando te desconectes.[n]El objeto desaparece al final del evento.[n]
zts18303e	Tarjeta del especialista para compañero de Hongbi
zts18304e	Tarjeta del especialista para compañero de la diablilla Hongbi[n]Puede llevarla la Princesa Sakura.[n]¡Pasa la plata![n]
zts18305e	Tarjeta del especialista para compañero de Cheongbi
zts18306e	Tarjeta del especialista para compañero de la diablilla Hongbi[n]Puede llevarla la Princesa Sakura.[n]¡Pasa el oro![n]
zts18308e	En esta caja del raid encontrarás varios objetos útiles.[n]Elige uno.[n]El objeto desaparece al final del evento.[n]
zts18309e	Caja infernal de la diablilla
zts18310e	Esta Caja infernal del diablillo oculta las Tarjetas del especialista para compañero de las diablillas.[n]Recibes uno de los siguientes objetos:[n]1 Tarjeta del especialista para compañero de Hongbi[n]1 Tarjeta del especialista para compañero de Cheongbi[n]1 Tique de habilidad de compañero (una)[n]25 Cristales de luna llena[n]25 Plumas de ángel[n]
zts18325e	Caja del raid de la diablilla
zts18328e	Tarjeta del especialista para compañero del Arcángel Lucifer
zts18329e	Tarjeta del especialista para compañero de elemento luz.[n]La pueden llevar Liona y Bob.[n]El protector de la luz.[n]
zts18330e	Baúl de Lucifer, el Traedor de la Luz
zts18331e	Este baúl tan brillante contiene la Tarjeta del especialista para compañero del Arcángel Lucifer y otros objetos.[n]Recibes uno de los siguientes objetos:[n]1 Tarjeta del especialista para compañero del Arcángel Lucifer[n]1 Tique de habilidad de compañero (una)[n]25 Cristales de luna llena[n]25 Plumas de ángel[n]
zts18338e	Esta valiosa joya sirve para mejorar tu Tarjeta del especialista.[n]Con ella el Archimago, el Renegado o el Ángel vengador estarán más cerca de la perfección.[n]
zts18339e	Ha recibido el poder de Dios.[n]"Y dijo Dios: hágase la luz".[n]
zts18340e	Miembro de la tropa de combate divina y guardián de los cielos.[n]"Mi filo es la voluntad de Dios".[n]
zts18341e	Eel escudo de Dios y el guardián de la luz.[n]"Mi espada estará perlada de sangre". [n]
zts18342e	Tarjeta del especialista para compañero de Laurena
zts18343e	Tarjeta del especialista para compañero de Laurena, la bruja blanca.[n]¡Ten mucho ojito![n]Puede llevarla la Princesa Sakura.[n]
zts18344e	Gema de Laurena
zts18346e	Polvo de la purificación
zts18348e	Baúl de bruja antiguo de Laurena
zts18349e	En el baúl de Laurena se esconden diversos objetos de gran valor.[n]
zts18350e	Astilla de almas
zts18352e	Semilla de la condenación
zts18354e	Baúl de bruja misterioso de Laurena
zts18355e	Baúl de bruja legendario de Laurena
zts18356e	En el baúl de Laurena se esconden diversos objetos de gran valor.[n]Parece que los de aquí son aún mejores.[n]
zts18357e	Esta gema le pertenece a la bruja Laurena.[n]Parece ser muy valiosa.[n]Sarakael la puede canjear.[n]
zts18358e	Sarakael desarrolló este polvo a partir de Astillas de almas.[n]Elimina el [ambiente lúgubre].[n][Atención][n]El efecto permanece hasta el final del raid.[n]Solo se puede utilizar en el raid de la bruja Laurena.[n]
zts18359e	Sarakael lo usa para fabricar el Polvo de la purificación.
zts18360e	Sarakael la usa para fabricar el Sello del raid de la bruja Laurena.
zts18363e	Puedes obtener una de las siguientes cosas del Baúl dorado de la arena:[n][Objetos][n]1 Rubí pequeño de la perfección[n]1 Zafiro pequeño de la perfección[n]1 Obsidiana pequeña de la perfección[n]1 Topacio pequeño de la perfección[n]1 Rubí de la perfección[n]1 Zafiro de la perfección[n]1 Obsidiana de la perfección[n]1 Topacio de la perfección[n]50 Pociones enormes de recuperación[n]2 Almas azul brillante[n]1 Corazón de dragón[n]1 Runa del relámpago[n]1 Runa de las olas[n]1 Runa de las nubes[n]1 Runa del viento[n]1 Runa del fuego[n]
zts18364e	Cabaña de Laurena
zts18365e	Esta es la cabaña favorita de Laurena, y tiene un diseño muy cuidado.[n]
zts18366e	Baúl mágico de Laurena
zts18367e	Este baúl mágico contiene la Tarjeta del especialista para compañero de Laurena y otros objetos.[n]Recibes uno de los siguientes objetos:[n]1 Tarjeta del especialista para compañero de Laurena [n]1 Tique de habilidad de compañero (una)[n]25 Cristales de luna llena[n]25 Plumas de ángel[n]
zts18378e	Tarjeta del especialista para compañero de Amón
zts18379e	Tarjeta del especialista para compañero de elemento tinieblas.[n]La pueden llevar Tom y Kliff.[n]¡Permíteme que te domine!
zts18390e	¡A las liebrecillas les encanta![n]¡Tiene muy buena pinta![n]Los valores de HP y MP se restablecen paulatinamente.[n]Tu NosMate también se beneficia de ello.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18391e	Hoja de ginseng
zts18392e	Mejora la resistencia.[n]El rey dragón lo está buscando.[n]HP: 5000, MP: 5000[n]Tu NosMate también se beneficia de ello.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18393e	Zanahorias
zts18394e	A las liebrecillas les encantan las zanahorias.[n]Son buenas para la salud...[n]¡y para los niños![n]HP: 500, MP: 500[n]Tu NosMate también se beneficia de ellas.[n]
zts18395e	Tarjeta del especialista para compañero de Luci Cucharón
zts18396e	Tarjeta del especialista para compañero del elemento fuego.[n]Pueden llevarla Tom y Kliff.[n]¡Dame zanahorias![n]
zts18397e	Cinta de pelo de liebrecilla
zts18398e	¡Una cinta de pelo preciosa![n]Es muy peculiar.[n]Solo pueden llevarla personajes femeninos.[n][Efecto][n]Aumenta la ganancia de oro en un 20%.[n]
zts18399e	Sello del Raid de Lola Cucharón
zts18400e	Puedes acceder al Raid del evento de verano en el Patio de Conejos de NosVille.[n]Nivel recomendado: 20 ~ 99[n]Cantidad mínima de jugadores: 6[n][Utilización][n]Con este sello te conviertes en líder del raid de un equipo.[n]Una vez seas líder del raid, puedes invitar a otros jugadores[n]haciendo clic sobre ellos.[n]Ve con tu equipo a la entrada del raid y accede como líder:[n]los demás jugadores te seguirán automáticamente.[n][Advertencia][n]Este objeto desaparece al final del evento.[n]
zts18401e	Caja del raid del rey dragón
zts18402e	Caja del raid redescubierta del rey dragón[n]Recibes un objeto de varios posibles.[n]El objeto desaparece al final del evento.[n][n]
zts18403e	Regalo de tortuga
zts18404e	Un regalo para la misión diaria[n]Recibes un objeto de varios posibles.[n]El objeto desaparece al final del evento.[n]
zts18411e	Puedes acceder al Raid del evento de verano en el Patio de Conejos de NosVille.[n]Nivel recomendado: 20 ~ 99[n]Cantidad mínima de jugadores: 6[n][Utilización][n]Con este sello te conviertes en líder del raid de un equipo.[n]Una vez seas líder del raid, puedes invitar a otros jugadores[n]haciendo clic sobre ellos.[n]Ve con tu equipo a la entrada del raid y accede como líder:[n]los demás jugadores te seguirán automáticamente.[n][Advertencia][n]Este objeto desaparece al final del evento.[n]
zts18412e	Sello del Raid de Lola Cucharón
zts18413e	Puedes acceder al Raid del evento de verano en el Patio de Conejos de NosVille.[n]Nivel recomendado: 20 ~ 99[n]Cantidad mínima de jugadores: 6[n][Utilización][n]Con este sello te conviertes en líder del raid de un equipo.[n]Una vez seas líder del raid, puedes invitar a otros jugadores[n]haciendo clic sobre ellos.[n]Ve con tu equipo a la entrada del raid y accede como líder:[n]los demás jugadores te seguirán automáticamente.[n][Advertencia][n]Este objeto desaparece al final del evento.[n]
zts18416e	¡A las liebrecillas les encanta![n]¡Tiene muy buena pinta![n]Los valores de HP y MP se restablecen paulatinamente.[n]Tu NosMate también se beneficia de ello.[n][Atención][n]El objeto desaparece al final del evento.[n]
zts18426e	Caja de recompensas: puntuación máxima de popularidad
zts18427e	Estas son las recompensas para la lista de popularidad.
zts18428e	Caja de recompensas: lista de rangos de fama
zts18429e	Estas son las recompensas para la lista de rangos de fama.
zts18430e	Caja de recompensas: lista de rangos de puntos
zts18431e	Estas son las recompensas para la lista de rangos de puntos.
zts18432e	Cloe, la vaquera
zts18433e	Tarjeta del Especialista para compañero del elemento del agua.[n]Leona y Bob pueden llevarla.[n]¡Escóndete y cúbrete![n]
zts18434e	Honorable: espada de fuego de Magmaros
zts18435e	Honorable: espada de fuego de Valakus
zts18436e	Honorable: alas del Fénix
zts18437e	Honorable: alas del Grial
zts18438e	Honorable: vara del Fantasma de Lava
zts18439e	Honorable: vara de Katol
zts18440e	Honorable: garra del Fénix
zts18441e	Honorable: garra del Grial
zts18442e	Honorable: colmillo del Perro Rescoldo
zts18443e	Honorable: colmillo de Kertos
zts18444e	Honorable: hálito de Valaket
zts18445e	Honorable: hálito de Valakus
zts18446e	Potenciador de la arena (talentos)
zts18447e	Se consume una vez si has ganado la Arena de los talentos.[n]Recibes una medalla, EXP adicional y oro.[n][Atención][n]Debe encontrarse en el inventario para utilizarse.[n]
zts18448e	Medalla de honor legendaria
zts18449e	La medalla para aquella persona que lleve a cabo una hazaña honorable.[n]Recibes 30 000 puntos de fama. [n][Atención][n]El objeto se utiliza una vez al hacer clic sobre él.[n]No es posible restaurarlo una vez utilizado.[n]
zts18450e	Medalla de honor misteriosa
zts18451e	La medalla para aquella persona que lleve a cabo una hazaña honorable.[n]Recibes 20 000 puntos de fama. [n][Atención][n]El objeto se utiliza una vez al hacer clic sobre él.[n]No es posible restaurarlo una vez utilizado.[n]
zts18452e	Medalla de honor antigua
zts18453e	La medalla para aquella persona que lleve a cabo una hazaña honorable.[n]Recibes 10 000 puntos de fama. [n][Atención][n]El objeto se utiliza una vez al hacer clic sobre él.[n]No es posible restaurarlo una vez utilizado.[n]
zts18454e	Medalla de honor excelente
zts18455e	La medalla para aquella persona que lleve a cabo una hazaña honorable.[n]Recibes 5 000 puntos de fama. [n][Atención][n]El objeto se utiliza una vez al hacer clic sobre él.[n]No es posible restaurarlo una vez utilizado.[n]
zts18456e	Medalla de honor de calidad
zts18457e	La medalla para aquella persona que lleve a cabo una hazaña honorable.[n]Recibes 3 000 puntos de fama. [n][Atención][n]El objeto se utiliza una vez al hacer clic sobre él.[n]No es posible restaurarlo una vez utilizado.[n]
zts18458e	Medalla de honor buena
zts18459e	La medalla para aquella persona que lleve a cabo una hazaña honorable.[n]Recibes 1 000 puntos de fama. [n][Atención][n]El objeto se utiliza una vez al hacer clic sobre él.[n]No es posible restaurarlo una vez utilizado.[n]
zts18460e	Medalla de honor útil
zts18461e	La medalla para aquella persona que lleve a cabo una hazaña honorable.[n]Recibes 500 puntos de fama. [n][Atención][n]El objeto se utiliza una vez al hacer clic sobre él.[n]No es posible restaurarlo una vez utilizado.[n]
zts18463e	La medalla para aquella persona que lleve a cabo una hazaña honorable.[n]Recibes 200 puntos de fama. [n][Atención][n]El objeto se utiliza una vez al hacer clic sobre él.[n]No es posible restaurarlo una vez utilizado.[n]
zts18464e	Este es el tique para la Arena de los talentos.[n]¡Afronta el reto y conviértete en el héroe de NosTale![n][Atención][n]El objeto se utiliza una vez al hacer clic sobre él.[n]La cantidad de accesos aumenta temporalmente en uno.[n]La cantidad aumentada se restaurará después.[n]
zts18465e	Medalla de honor
zts18466e	Se consume una vez si has ganado la Arena de los talentos.[n]Recibes una medalla, EXP adicional y oro.[n][Atención]Debe encontrarse en el inventario para utilizarse.[n]
zts18473e	Honorable: máscara antigua de fuego
zts18474e	Honorable: casco de llamas
zts18475e	Honorable: guante de Magmaros
zts18476e	Honorable: guante de Valakus
zts18477e	Honorable: botas del gigante de llamas
zts18478e	Honorable: botas de Kertos
zts18479e	Honorable: pulsera del gigante de llamas
zts18480e	Honorable: pulsera de Katol
zts18481e	Honorable: anillo del Fénix
zts18482e	Honorable: anillo del Grial
zts18483e	Honorable: collar del Perro Rescoldo
zts18484e	Honorable: collar de Kertos
zts18485e	Honorable: armadura blindada del gigante de llamas
zts18486e	Honorable: coraza reluciente de Katol
zts18487e	Honorable: armadura de cuero del Perro Rescoldo
zts18488e	Honorable: coraza de cuero de Kertos
zts18489e	Honorable: túnica del Fénix de fuego
zts18490e	Honorable: túnica del Grial resplandeciente
zts18491e	Esencia de Ancelloan
zts18492e	Permite utilizar la Aparición de Ancelloan.
zts18493e	Honorable: guantes del ladrón maestro
zts18494e	Honorable: zapatos del ladrón maestro
zts18495e	Máscara del héroe olvidado D
zts18496e	El equipamiento de los héroes olvidados, encontrado en la Llanura Celestial.[n]
zts18497e	Diadema del héroe desconocido
zts18498e	No hay ni siquiera nombre que se pudiera olvidar.[n]
zts18499e	Collar del héroe olvidado J
zts18500e	Anillo del héroe olvidado S
zts18501e	brazalete del héroe olvidado M
zts18502e	Honorable: armadura de oro de los Ladrones del Desierto
zts18503e	Honorable: túnica de oro de los Ladrones del Desierto
zts18504e	Honorable: ropaje de oro de los Ladrones del Desierto
zts18505e	Honorable: armadura pesada del Comandante
zts18506e	Honorable: ropaje del Comandante
zts18507e	Honorable: armadura de piel del Comandante
zts18508e	Honorable: puñal colmillo azul de Calvina
zts18509e	Honorable: varita mágica flor de agua de Calvina
zts18510e	Honorable: arma mágica cuerno azul de Calvina
zts18511e	Honorable: espada tormenta-fuego de Calvina
zts18512e	Honorable: ballesta espina azul de Calvina
zts18513e	Honorable: arco ola de la marea de Calvina
zts18514e	Honorable: ballesta del Gran Líder
zts18515e	Honorable: arma mágica del Gran Líder
zts18516e	Honorable: cuchillo del Gran Líder
zts18517e	Honorable: espada cortadora del Gran Jefe
zts18518e	Honorable: varita mágica del Gran Jefe
zts18519e	Honorable: arco-cuña del gran Jefe
zts18520e	Caja honorable
zts18521e	Caja honorable[n]Recibes uno de los siguientes objetos:[n][Objetos disponibles][n]1 Tique de la arena de los talentos[n]1 Medalla de honor legendaria[n]1 Medalla de honor misteriosa[n]1 Medalla de honor antigua[n]1 Medalla de honor excelente[n]1 Medalla de honor útil[n]1 Medalla de honor[n]
zts18522e	Baúl de la medalla de oro
zts18523e	Baúl de la medalla de oro de la arena[n]Recibes uno de los siguientes objetos:[n][Objetos disponibles][n]1 Medalla de honor legendaria[n]1 Medalla de honor misteriosa[n]1 Medalla de honor antigua[n]1 Medalla de honor excelente[n]1 Medalla de honor útil[n]1 Medalla de honor[n]
zts18524e	Baúl de la medalla de plata
